id,loan_amnt,loan_amnt_band,term_months,int_rate,installment,grade,sub_grade,purpose,emp_length_years,home_ownership,annual_inc,income_band,verification_status,dti,addr_state,pub_rec,delinq_2yrs,revol_util,open_acc,total_acc,pub_rec_bankruptcies,issue_d,earliest_cr_line,loan_status,is_default
1047704,8500,5-10k,36,11.71,281.15,B,B3,credit_card,0.0,RENT,25000.0,<40k,Source Verified,12.19,MN,0,0,59.1,8,12,0,2011-12-01,2006-11-01,Fully Paid,0
1032111,4375,<5k,36,7.51,136.11,A,A3,debt_consolidation,7.0,MORTGAGE,17108.0,<40k,Source Verified,20.34,NY,0,0,86.9,6,12,0,2011-12-01,1987-12-01,Fully Paid,0
1069539,31825,20k+,36,7.9,995.82,A,A4,debt_consolidation,5.0,MORTGAGE,75000.0,60-80k,Verified,14.03,NJ,0,0,27.4,12,26,0,2011-12-01,1981-11-01,Fully Paid,0
1069591,5000,<5k,36,8.9,158.77,A,A5,debt_consolidation,2.0,RENT,24044.0,<40k,Verified,11.93,OR,0,0,29.3,8,16,0,2011-12-01,2005-04-01,Fully Paid,0
1069530,7000,5-10k,36,15.96,245.97,C,C5,credit_card,7.0,RENT,34000.0,<40k,Source Verified,6.35,CA,0,0,60.5,6,6,0,2011-12-01,2007-10-01,Fully Paid,0
1069522,12400,10-15k,36,10.65,403.91,B,B2,credit_card,10.0,RENT,41000.0,40-60k,Not Verified,11.8,KY,0,0,57.2,9,12,0,2011-12-01,2005-07-01,Fully Paid,0
1069361,10800,10-15k,36,9.91,348.03,B,B1,moving,2.0,RENT,55596.0,40-60k,Source Verified,5.5,CA,0,0,13.3,7,18,0,2011-12-01,2000-12-01,Fully Paid,0
1069357,15000,10-15k,36,7.9,469.36,A,A4,debt_consolidation,1.0,RENT,45000.0,40-60k,Verified,8.48,OH,0,0,50.4,7,27,0,2011-12-01,2004-11-01,Fully Paid,0
1069356,6000,5-10k,36,12.42,200.5,B,B4,debt_consolidation,1.0,RENT,36852.0,<40k,Source Verified,10.62,AZ,0,0,66.5,7,12,0,2011-12-01,2007-04-01,Fully Paid,0
1067573,9600,5-10k,36,7.51,298.67,A,A3,other,4.0,RENT,68004.0,60-80k,Source Verified,6.63,SC,0,0,18.1,6,11,0,2011-12-01,2003-01-01,Fully Paid,0
1069506,12000,10-15k,36,7.9,375.49,A,A4,debt_consolidation,10.0,RENT,62300.0,60-80k,Not Verified,16.7,NJ,0,0,21.0,15,25,0,2011-12-01,1994-03-01,Fully Paid,0
1069314,3000,<5k,36,18.25,108.84,D,D5,other,9.0,MORTGAGE,65000.0,60-80k,Not Verified,17.39,PA,0,0,98.1,8,22,0,2011-12-01,1998-09-01,Fully Paid,0
1060578,4400,<5k,36,16.77,156.37,D,D2,debt_consolidation,10.0,RENT,55000.0,40-60k,Not Verified,20.01,RI,0,0,99.0,7,11,0,2011-12-01,2004-06-01,Fully Paid,0
1069469,6000,5-10k,36,6.03,182.62,A,A1,debt_consolidation,10.0,MORTGAGE,45600.0,40-60k,Not Verified,5.34,LA,0,0,32.5,6,28,0,2011-12-01,1995-11-01,Fully Paid,0
1051117,14000,10-15k,36,9.91,451.15,B,B1,small_business,6.0,RENT,80000.0,60-80k,Not Verified,10.0,MA,0,0,13.4,7,40,0,2011-12-01,1999-07-01,Fully Paid,0
1069465,5000,<5k,36,8.9,158.77,A,A5,debt_consolidation,10.0,MORTGAGE,100000.0,80-100k,Source Verified,16.33,OH,0,0,62.1,17,35,0,2011-12-01,1995-06-01,Charged Off,1
1069283,10000,5-10k,36,10.65,325.74,B,B2,other,6.0,RENT,27000.0,<40k,Verified,11.47,NY,0,0,52.3,7,10,0,2011-12-01,2006-11-01,Fully Paid,0
1069287,10000,5-10k,36,6.03,304.36,A,A1,credit_card,10.0,RENT,60000.0,40-60k,Not Verified,12.74,CT,0,0,19.5,11,18,0,2011-12-01,1992-09-01,Fully Paid,0
1069453,11000,10-15k,36,6.62,337.75,A,A2,debt_consolidation,5.0,RENT,70000.0,60-80k,Not Verified,10.85,CT,0,0,36.4,5,7,0,2011-12-01,2002-01-01,Fully Paid,0
1069248,15000,10-15k,36,9.91,483.38,B,B1,debt_consolidation,8.0,MORTGAGE,80000.0,60-80k,Not Verified,9.12,IL,0,0,63.7,9,28,0,2011-12-01,1992-04-01,Charged Off,1
1068120,25600,20k+,36,9.91,824.96,B,B1,credit_card,9.0,RENT,110000.0,100k+,Verified,15.71,CA,0,0,62.0,11,27,0,2011-12-01,1999-07-01,Fully Paid,0
1069244,7000,5-10k,36,10.65,228.02,B,B2,debt_consolidation,0.0,RENT,40000.0,<40k,Not Verified,7.38,CA,0,0,92.9,7,12,0,2011-12-01,2004-04-01,Fully Paid,0
1069243,12000,10-15k,36,15.96,421.65,C,C5,car,4.0,RENT,50000.0,40-60k,Not Verified,20.88,CA,0,0,90.8,11,11,0,2011-12-01,2006-10-01,Charged Off,1
1069238,12000,10-15k,36,9.91,386.7,B,B1,credit_card,1.0,RENT,46000.0,40-60k,Not Verified,8.11,TX,0,0,52.1,11,12,0,2011-12-01,2000-05-01,Fully Paid,0
1069410,21000,20k+,60,19.91,555.33,E,E4,debt_consolidation,7.0,RENT,50000.0,40-60k,Verified,21.58,WA,0,0,97.6,7,14,0,2011-12-01,1998-09-01,Charged Off,1
1068409,16000,15-20k,60,19.91,423.11,E,E4,credit_card,7.0,RENT,81000.0,80-100k,Verified,20.52,MA,0,0,75.1,12,21,0,2011-12-01,1998-12-01,Fully Paid,0
1068487,10000,5-10k,36,12.42,334.16,B,B4,debt_consolidation,0.0,OWN,39000.0,<40k,Not Verified,18.58,OR,0,0,72.7,5,10,0,2011-12-01,2004-12-01,Fully Paid,0
1043961,10000,5-10k,36,10.65,325.74,B,B2,credit_card,2.0,RENT,51400.0,40-60k,Not Verified,19.14,TX,0,0,59.1,10,24,0,2011-12-01,2000-10-01,Fully Paid,0
1068945,7100,5-10k,36,16.77,252.33,D,D2,debt_consolidation,1.0,MORTGAGE,33000.0,<40k,Verified,24.0,TX,0,0,91.2,4,8,0,2011-12-01,2007-04-01,Fully Paid,0
1069142,13000,10-15k,60,12.69,293.74,B,B5,debt_consolidation,0.0,MORTGAGE,30000.0,<40k,Source Verified,13.72,NJ,0,0,58.9,17,27,0,2011-12-01,2002-05-01,Fully Paid,0
1068934,17500,15-20k,60,17.27,223.74,D,D3,small_business,6.0,RENT,40000.0,<40k,Verified,19.47,CA,0,0,58.9,5,6,0,2011-12-01,2006-05-01,Fully Paid,0
1069136,17675,15-20k,60,14.65,417.25,C,C3,debt_consolidation,0.0,RENT,50000.0,40-60k,Source Verified,16.46,WI,0,0,57.4,6,14,0,2011-12-01,2002-07-01,Fully Paid,0
1068923,8000,5-10k,36,16.77,284.31,D,D2,debt_consolidation,0.0,RENT,62000.0,60-80k,Not Verified,21.64,VA,0,0,66.9,14,20,0,2011-12-01,2006-07-01,Fully Paid,0
1069126,10000,5-10k,60,10.65,215.69,B,B2,debt_consolidation,10.0,RENT,45996.0,40-60k,Verified,21.73,OH,0,0,30.1,7,15,0,2011-12-01,1997-05-01,Charged Off,1
1069102,3500,<5k,36,10.65,114.01,B,B2,debt_consolidation,7.0,MORTGAGE,55000.0,40-60k,Not Verified,5.39,OH,0,0,45.9,9,12,0,2011-12-01,2005-10-01,Fully Paid,0
1069093,12500,10-15k,60,17.27,223.11,D,D3,debt_consolidation,5.0,RENT,30000.0,<40k,Source Verified,13.16,MN,1,0,70.8,7,28,1,2011-12-01,1995-04-01,Charged Off,1
1069030,16425,15-20k,36,14.27,563.53,C,C2,debt_consolidation,4.0,RENT,44544.0,40-60k,Source Verified,22.71,CA,0,0,83.4,10,18,0,2011-12-01,2002-10-01,Fully Paid,0
1068906,8200,5-10k,60,21.28,223.14,F,F2,small_business,4.0,RENT,75000.0,60-80k,Source Verified,12.48,CA,0,0,73.9,6,11,0,2011-12-01,2000-01-01,Charged Off,1
1069073,15000,10-15k,36,14.65,517.42,C,C3,credit_card,2.0,OWN,61000.0,60-80k,Verified,11.88,FL,0,0,79.5,8,18,0,2011-12-01,2004-06-01,Fully Paid,0
1069043,20975,20k+,60,17.58,341.63,D,D4,credit_card,5.0,MORTGAGE,44000.0,40-60k,Verified,18.79,GA,1,0,79.4,13,21,1,2011-12-01,2000-04-01,Fully Paid,0
1060981,6400,5-10k,36,16.77,227.45,D,D2,debt_consolidation,5.0,RENT,75000.0,60-80k,Not Verified,20.22,CA,0,0,67.5,9,27,0,2011-12-01,1994-12-01,Charged Off,1
1069071,3000,<5k,36,13.49,101.8,C,C1,debt_consolidation,1.0,RENT,33600.0,<40k,Not Verified,18.11,AL,0,0,83.2,4,7,0,2011-12-01,2005-10-01,Fully Paid,0
1069070,12000,10-15k,36,16.77,426.47,D,D2,credit_card,3.0,RENT,50000.0,40-60k,Not Verified,20.57,MA,0,0,97.0,13,19,0,2011-12-01,2005-09-01,Fully Paid,0
1068893,14400,10-15k,36,8.9,457.25,A,A5,debt_consolidation,0.0,OWN,150000.0,100k+,Source Verified,14.85,NY,0,0,55.0,12,38,0,2011-12-01,1994-12-01,Fully Paid,0
1068882,12000,10-15k,36,14.65,413.94,C,C3,debt_consolidation,10.0,RENT,90000.0,80-100k,Not Verified,16.56,NJ,0,0,78.5,12,36,0,2011-12-01,1984-12-01,Fully Paid,0
1069039,11000,10-15k,36,13.49,373.24,C,C1,debt_consolidation,10.0,MORTGAGE,48000.0,40-60k,Verified,21.82,TX,0,0,65.0,15,29,0,2011-12-01,1999-12-01,Fully Paid,0
1068416,7250,5-10k,60,21.67,197.51,F,F3,debt_consolidation,0.0,RENT,75000.0,60-80k,Verified,24.82,CA,1,0,91.2,9,19,1,2011-12-01,2000-05-01,Fully Paid,0
1068997,15000,10-15k,36,7.9,469.36,A,A4,small_business,1.0,MORTGAGE,52000.0,40-60k,Not Verified,9.65,TX,0,0,6.7,11,29,0,2011-12-01,2003-11-01,Fully Paid,0
1048390,18000,15-20k,60,19.91,475.99,E,E4,debt_consolidation,10.0,MORTGAGE,65000.0,60-80k,Not Verified,6.81,FL,0,0,77.8,10,40,0,2011-12-01,1989-06-01,Fully Paid,0
1068994,35000,20k+,60,17.27,551.84,D,D3,home_improvement,3.0,MORTGAGE,150000.0,100k+,Verified,7.51,NY,0,0,53.3,11,31,0,2011-12-01,2003-06-01,Fully Paid,0
1068475,10000,5-10k,36,14.27,343.09,C,C2,credit_card,2.0,RENT,68000.0,60-80k,Source Verified,15.39,PA,0,0,81.3,9,15,0,2011-12-01,2006-07-01,Fully Paid,0
1068989,11800,10-15k,36,12.69,395.83,B,B5,credit_card,6.0,RENT,42000.0,40-60k,Source Verified,9.86,NY,0,0,74.8,4,13,0,2011-12-01,1996-10-01,Fully Paid,0
1068967,4500,<5k,36,6.03,136.96,A,A1,major_purchase,4.0,RENT,53000.0,40-60k,Source Verified,4.44,CA,0,0,13.9,7,17,0,2011-12-01,2000-10-01,Fully Paid,0
1068744,7000,5-10k,36,12.69,234.82,B,B5,credit_card,10.0,RENT,35000.0,<40k,Source Verified,11.35,CA,0,0,82.3,10,26,0,2011-12-01,2000-05-01,Fully Paid,0
1045509,9200,5-10k,36,12.42,307.43,B,B4,debt_consolidation,2.0,RENT,60000.0,40-60k,Source Verified,19.96,CA,0,0,78.7,8,19,0,2011-12-01,2002-10-01,Fully Paid,0
1041756,4500,<5k,60,10.65,97.06,B,B2,car,0.0,MORTGAGE,42000.0,40-60k,Source Verified,5.4,TX,0,0,78.3,4,9,0,2011-12-01,1983-02-01,Fully Paid,0
1068694,12000,10-15k,36,16.29,423.61,D,D1,debt_consolidation,9.0,RENT,88365.0,80-100k,Verified,16.85,AZ,0,0,96.4,6,15,0,2011-12-01,1996-10-01,Fully Paid,0
1068792,12000,10-15k,36,13.49,407.17,C,C1,debt_consolidation,4.0,RENT,72000.0,60-80k,Source Verified,21.33,CA,0,0,27.6,11,19,0,2011-12-01,2003-05-01,Fully Paid,0
1068558,12000,10-15k,36,10.65,390.88,B,B2,credit_card,0.0,RENT,62000.0,60-80k,Verified,23.94,TX,0,0,78.4,10,51,0,2011-12-01,2002-06-01,Fully Paid,0
1068322,7000,5-10k,36,10.65,228.02,B,B2,credit_card,3.0,MORTGAGE,43680.0,40-60k,Not Verified,5.38,MN,0,0,78.1,7,11,0,2011-12-01,2000-10-01,Fully Paid,0
1065674,8200,5-10k,60,19.42,214.62,E,E3,debt_consolidation,3.0,RENT,120000.0,100k+,Source Verified,2.8,NY,0,0,88.4,5,6,0,2011-12-01,2007-06-01,Fully Paid,0
1068547,10500,10-15k,36,12.69,352.23,B,B5,medical,10.0,RENT,66000.0,60-80k,Verified,20.73,CA,0,1,51.2,8,26,0,2011-12-01,1998-09-01,Fully Paid,0
1068545,7000,5-10k,36,11.71,231.54,B,B3,debt_consolidation,4.0,OWN,39120.0,<40k,Not Verified,21.01,FL,1,0,52.4,8,26,0,2011-12-01,1996-12-01,Fully Paid,0
1049528,20000,15-20k,60,11.71,282.86,B,B3,debt_consolidation,4.0,MORTGAGE,47800.0,40-60k,Verified,10.04,VA,0,0,46.3,15,27,0,2011-12-01,2001-11-01,Fully Paid,0
1068542,17500,15-20k,60,17.27,437.47,D,D3,credit_card,7.0,MORTGAGE,45000.0,40-60k,Not Verified,21.31,WA,0,0,86.1,13,26,0,2011-12-01,2002-09-01,Charged Off,1
1068350,3500,<5k,36,6.03,106.53,A,A1,car,10.0,MORTGAGE,83000.0,80-100k,Verified,2.31,IL,0,0,13.4,6,28,0,2011-12-01,1986-01-01,Fully Paid,0
1068509,6200,5-10k,36,9.91,199.8,B,B1,debt_consolidation,2.0,RENT,25000.0,<40k,Not Verified,20.64,CA,0,0,47.7,7,12,0,2011-12-01,1998-05-01,Charged Off,1
1068508,6000,5-10k,36,8.9,190.52,A,A5,debt_consolidation,8.0,OWN,28800.0,<40k,Not Verified,13.17,NJ,0,0,36.8,11,13,0,2011-12-01,2005-07-01,Fully Paid,0
1066641,7200,5-10k,36,9.91,232.02,B,B1,credit_card,6.0,RENT,135000.0,100k+,Not Verified,6.12,NY,0,0,79.6,7,18,0,2011-12-01,1997-01-01,Fully Paid,0
1068315,9500,5-10k,36,8.9,301.66,A,A5,credit_card,7.0,MORTGAGE,50000.0,40-60k,Not Verified,8.18,TX,0,0,60.5,8,13,0,2011-12-01,2005-06-01,Fully Paid,0
1068309,18825,15-20k,60,16.77,465.53,D,D2,debt_consolidation,10.0,RENT,38000.0,<40k,Verified,23.18,TX,0,0,79.7,6,7,0,2011-12-01,2004-12-01,Charged Off,1
1068326,24000,20k+,36,10.65,781.76,B,B2,debt_consolidation,10.0,RENT,45000.0,40-60k,Verified,14.8,CA,0,0,55.2,5,9,0,2011-12-01,1990-02-01,Fully Paid,0
1066767,6000,5-10k,36,13.49,203.59,C,C1,debt_consolidation,10.0,RENT,80000.0,60-80k,Not Verified,11.58,CA,0,0,83.8,8,16,0,2011-12-01,2002-02-01,Fully Paid,0
1068484,6000,5-10k,36,13.49,203.59,C,C1,debt_consolidation,5.0,RENT,50000.0,40-60k,Not Verified,15.38,AZ,0,0,91.5,6,7,0,2011-12-01,2004-03-01,Fully Paid,0
1068292,2100,<5k,36,12.42,70.18,B,B4,vacation,10.0,MORTGAGE,30000.0,<40k,Not Verified,19.72,LA,0,0,82.9,12,26,0,2011-12-01,1995-07-01,Fully Paid,0
1068273,5500,5-10k,36,6.62,168.88,A,A2,small_business,8.0,MORTGAGE,110000.0,100k+,Verified,9.69,CT,0,0,21.9,7,26,0,2011-12-01,1994-08-01,Fully Paid,0
1068274,11000,10-15k,36,6.62,337.75,A,A2,debt_consolidation,8.0,OWN,45608.0,40-60k,Source Verified,20.5,LA,0,0,58.7,7,11,0,2011-12-01,1992-06-01,Fully Paid,0
1068440,26800,20k+,60,20.89,723.38,F,F1,debt_consolidation,3.0,MORTGAGE,120000.0,100k+,Verified,12.15,FL,0,0,48.0,13,18,0,2011-12-01,2006-05-01,Fully Paid,0
1046456,8000,5-10k,36,12.69,268.36,B,B5,debt_consolidation,5.0,MORTGAGE,35000.0,<40k,Not Verified,10.05,IL,0,0,97.7,7,18,0,2011-12-01,2002-10-01,Fully Paid,0
1068012,10000,5-10k,36,18.25,362.78,D,D5,credit_card,1.0,RENT,75000.0,60-80k,Source Verified,24.14,CA,0,0,96.3,9,26,0,2011-12-01,1997-03-01,Charged Off,1
1055725,8000,5-10k,36,11.71,264.61,B,B3,credit_card,9.0,MORTGAGE,35000.0,<40k,Verified,9.7,NV,0,0,46.5,7,8,0,2011-12-01,2006-04-01,Fully Paid,0
1061814,10000,5-10k,36,8.9,317.54,A,A5,debt_consolidation,6.0,RENT,24000.0,<40k,Verified,7.0,CA,0,0,49.5,6,21,0,2011-12-01,2000-01-01,Fully Paid,0
1068232,12000,10-15k,36,11.71,396.92,B,B3,debt_consolidation,2.0,MORTGAGE,126000.0,100k+,Not Verified,13.32,OH,0,0,54.1,17,38,0,2011-12-01,1990-04-01,Fully Paid,0
1068405,10000,5-10k,36,7.9,312.91,A,A4,debt_consolidation,1.0,RENT,43000.0,40-60k,Not Verified,25.26,CA,0,0,37.2,8,16,0,2011-12-01,2003-06-01,Fully Paid,0
1068395,12000,10-15k,36,9.91,386.7,B,B1,debt_consolidation,1.0,RENT,50000.0,40-60k,Not Verified,16.44,CA,0,0,29.3,11,25,0,2011-12-01,2000-01-01,Fully Paid,0
1068202,25000,20k+,60,13.49,575.12,C,C1,credit_card,10.0,MORTGAGE,67000.0,60-80k,Verified,14.15,AK,0,0,91.2,6,21,0,2011-12-01,1999-08-01,Charged Off,1
1068006,19750,15-20k,36,10.65,643.33,B,B2,debt_consolidation,4.0,RENT,45000.0,40-60k,Verified,22.8,OR,0,0,54.2,12,28,0,2011-12-01,2000-09-01,Charged Off,1
1068075,10000,5-10k,36,9.91,322.25,B,B1,debt_consolidation,3.0,RENT,31200.0,<40k,Source Verified,14.81,NY,0,0,27.0,13,19,0,2011-12-01,2005-10-01,Fully Paid,0
1065642,13650,10-15k,36,12.42,456.12,B,B4,debt_consolidation,4.0,RENT,66000.0,60-80k,Verified,24.09,NV,0,0,56.5,11,34,0,2011-12-01,2001-02-01,Fully Paid,0
1068179,28000,20k+,60,19.91,312.04,E,E4,debt_consolidation,10.0,RENT,52000.0,40-60k,Verified,20.7,TX,0,0,87.6,10,16,0,2011-12-01,1988-12-01,Charged Off,1
1068158,18000,15-20k,36,7.9,563.23,A,A4,debt_consolidation,10.0,RENT,56964.0,40-60k,Source Verified,27.55,CA,0,0,76.6,7,20,0,2011-12-01,1999-02-01,Fully Paid,0
1068180,2500,<5k,36,14.27,85.78,C,C2,debt_consolidation,7.0,RENT,49500.0,40-60k,Source Verified,10.33,FL,0,0,37.7,7,20,0,2011-12-01,2004-11-01,Fully Paid,0
1065673,21000,20k+,60,20.3,559.89,E,E5,credit_card,10.0,RENT,70000.0,60-80k,Verified,23.21,CO,0,0,70.7,17,25,0,2011-12-01,1991-12-01,Fully Paid,0
1068159,35000,20k+,36,8.9,1111.37,A,A5,debt_consolidation,6.0,MORTGAGE,125000.0,100k+,Verified,22.71,CA,0,0,34.8,8,32,0,2011-12-01,2000-08-01,Fully Paid,0
1068165,10000,5-10k,36,7.51,311.11,A,A3,credit_card,3.0,RENT,33000.0,<40k,Not Verified,9.75,NJ,0,0,0.6,9,19,0,2011-12-01,2004-10-01,Fully Paid,0
1059689,7000,5-10k,36,12.69,234.82,B,B5,credit_card,0.0,RENT,30000.0,<40k,Source Verified,15.8,VA,0,0,47.6,7,11,0,2011-12-01,2004-08-01,Fully Paid,0
1066215,24000,20k+,36,15.96,843.3,C,C5,home_improvement,8.0,MORTGAGE,90000.0,80-100k,Source Verified,9.17,CA,0,0,71.2,9,23,0,2011-12-01,1995-06-01,Charged Off,1
1063270,10625,10-15k,36,7.51,330.56,A,A3,medical,5.0,MORTGAGE,23000.0,<40k,Not Verified,18.89,OR,0,0,43.4,9,21,0,2011-12-01,2005-02-01,Fully Paid,0
1067931,5000,<5k,36,14.65,172.48,C,C3,debt_consolidation,2.0,RENT,24000.0,<40k,Source Verified,18.3,PA,0,0,33.3,5,9,0,2011-12-01,2005-11-01,Fully Paid,0
1067922,8850,5-10k,36,6.62,271.73,A,A2,credit_card,10.0,RENT,62000.0,60-80k,Source Verified,17.71,MD,0,0,35.9,7,19,0,2011-12-01,1998-09-01,Fully Paid,0
1067919,6375,5-10k,36,7.51,198.34,A,A3,debt_consolidation,4.0,RENT,44000.0,40-60k,Source Verified,4.8,GA,0,0,58.0,7,11,0,2011-12-01,2000-11-01,Fully Paid,0
1068106,6000,5-10k,36,11.71,198.46,B,B3,credit_card,1.0,RENT,90000.0,80-100k,Not Verified,2.97,NJ,0,1,56.6,10,23,0,2011-12-01,2007-05-01,Fully Paid,0
1068111,11100,10-15k,36,6.62,340.82,A,A2,credit_card,10.0,RENT,41000.0,40-60k,Verified,29.85,PA,0,0,62.3,8,18,0,2011-12-01,1991-01-01,Charged Off,1
1067655,10000,5-10k,60,12.69,225.95,B,B5,debt_consolidation,2.0,MORTGAGE,56000.0,40-60k,Source Verified,10.82,CA,0,0,31.2,11,18,0,2011-12-01,2000-04-01,Fully Paid,0
1060662,6200,5-10k,36,6.03,188.71,A,A1,small_business,5.0,MORTGAGE,26500.0,<40k,Not Verified,18.2,WV,0,0,16.0,6,18,0,2011-12-01,2000-06-01,Fully Paid,0
1061304,15000,10-15k,36,18.64,547.12,E,E1,debt_consolidation,1.0,RENT,54000.0,40-60k,Not Verified,19.69,GA,0,0,90.3,9,12,0,2011-12-01,2006-08-01,Fully Paid,0
1068095,4200,<5k,36,11.71,138.92,B,B3,other,2.0,RENT,53000.0,40-60k,Not Verified,16.91,MD,0,0,79.7,15,22,0,2011-12-01,2002-12-01,Fully Paid,0
